"year","month","id","below","normal","above"
2005,9,"AcaciasLasHda",40.0368796521,32.2371199755,27.7260003723
2005,9,"ApartadaLa",47.5282995922,25.7139882686,26.7577121392
2005,9,"AptoLosGarzones",44.2783143989,26.5976877383,29.1239978628
2005,9,"Ayapel",42.5248508872,27.8973227997,29.5778263131
2005,9,"BocadeLaCeiba",38.9903569452,25.8623949345,35.1472481203
2005,9,"BuenosAires",44.1759027332,27.0458906849,28.7782065819
2005,9,"BuenosAires1",37.8826144757,28.9203677046,33.1970178198
2005,9,"Caramelo",39.894606383,29.8770162764,30.2283773406
2005,9,"Carrillo",46.9841272988,25.2693507685,27.7465219328
2005,9,"Carrizal",35.2325632642,27.6845793502,37.0828573856
2005,9,"Cecilia",43.412774911,28.253816364,28.3334087251
2005,9,"Cerete",41.0908884049,37.1819545192,21.7271570759
2005,9,"Chima",46.8427759544,28.5695074055,24.5877166401
2005,9,"Cintura",43.1501799643,30.4414730393,26.4083469964
2005,9,"Coroza2",46.6464303824,25.8754417677,27.4781278498
2005,9,"CristoRey",39.9305340055,26.43860547,33.6308605245
2005,9,"CubaHda",47.8327099621,30.6609373475,21.5063526904
2005,9,"DoctrinaLa",43.7851257459,28.4925553367,27.7223189174
2005,9,"Galan",31.9875886307,30.8713102051,37.1411011642
2005,9,"LimonEl",41.858222556,25.8603446807,32.2814327633
2005,9,"Lorica",39.147243492,30.8179170572,30.0348394508
2005,9,"Maracayo",41.5327952366,27.8730559743,30.5941487891
2005,9,"Momil",41.6077256888,31.1131853463,27.279088965
2005,9,"PajarosLos",41.1020404768,35.8130670053,23.0848925179
2005,9,"Rabolargo",49.580042055,26.5974733308,23.8224846142
2005,9,"Sabanal",44.7566594955,24.6879938946,30.55534661
2005,9,"Sahagun",36.2478745709,31.2794189152,32.4727065139
2005,9,"SaladoEl",45.0313502756,28.818506918,26.1501428064
2005,9,"SanAnterito",33.986454179,30.4904352046,35.5231106164
2005,9,"SanAntonio",46.3872110097,27.5619596385,26.0508293518
2005,9,"SanBernardodelV",45.4818079624,29.606693713,24.9114983246
2005,9,"SanCarlos",34.585118373,29.1011855934,36.3136960336
2005,9,"Turipana",48.8329523303,27.1142105368,24.0528371329
2005,9,"UnivdeCordoba",44.7359548933,25.7280985039,29.5359466028
2005,10,"AcaciasLasHda",43.1345495925,28.4340052336,28.4314451739
2005,10,"ApartadaLa",45.9040773122,24.9190967897,29.1768258981
2005,10,"AptoLosGarzones",38.6660883412,31.7232912661,29.6106203927
2005,10,"Ayapel",36.6601955868,29.8008821886,33.5389222246
2005,10,"BocadeLaCeiba",35.4890455985,32.3682993869,32.1426550146
2005,10,"BuenosAires",45.7159777622,25.3702710092,28.9137512286
2005,10,"BuenosAires1",37.9022456251,29.5434682295,32.5542861454
2005,10,"Caramelo",44.0673310414,26.8674405687,29.0652283899
2005,10,"Carrillo",44.0269075192,25.8249152416,30.1481772392
2005,10,"Carrizal",35.6748574426,28.4842071272,35.8409354302
2005,10,"Cecilia",38.4562472037,26.2765340925,35.2672187038
2005,10,"Cerete",41.0780319545,33.104170928,25.8177971175
2005,10,"Chima",46.1610583312,26.7081332759,27.130808393
2005,10,"Cintura",33.2567777752,33.9881088839,32.755113341
2005,10,"Coroza2",43.6266293818,26.5844077979,29.7889628203
2005,10,"CristoRey",38.4509188374,29.4168903213,32.1321908413
2005,10,"CubaHda",42.6079477386,29.0986491323,28.2934031291
2005,10,"DoctrinaLa",46.2886141052,27.1115193101,26.5998665847
2005,10,"Galan",32.9621553141,30.629106697,36.408737989
2005,10,"LimonEl",44.994247531,26.2832175776,28.7225348914
2005,10,"Lorica",42.6820111133,25.5668200456,31.7511688411
2005,10,"Maracayo",44.5181166005,28.663432327,26.8184510725
2005,10,"Momil",46.4160585955,27.6456766098,25.9382647947
2005,10,"PajarosLos",39.234704511,37.4918133184,23.2734821706
2005,10,"Rabolargo",47.3702865804,26.1545325864,26.4751808332
2005,10,"Sabanal",43.6147346903,25.9529969643,30.4322683454
2005,10,"Sahagun",41.8737543844,29.1595259757,28.96671964
2005,10,"SaladoEl",46.9211657085,26.183975668,26.8948586235
2005,10,"SanAnterito",38.4742779222,25.3214547325,36.2042673453
2005,10,"SanAntonio",47.1518134651,29.0128842933,23.8353022417
2005,10,"SanBernardodelV",46.9025008457,28.5401893343,24.5573098199
2005,10,"SanCarlos",33.8937241402,27.7031289997,38.4031468601
2005,10,"Turipana",40.2346305297,31.9654978168,27.7998716535
2005,10,"UnivdeCordoba",42.3538976214,28.279001411,29.3671009675
2005,11,"AcaciasLasHda",41.4972209617,26.2445440085,32.2582350299
2005,11,"ApartadaLa",37.9754604428,24.4136525195,37.6108870377
2005,11,"AptoLosGarzones",23.7184420919,34.5502772893,41.7312806188
2005,11,"Ayapel",37.1091941317,28.8840343756,34.0067714927
2005,11,"BocadeLaCeiba",25.7283105375,31.3363719379,42.9353175245
2005,11,"BuenosAires",28.438617644,28.1869549065,43.3744274495
2005,11,"BuenosAires1",18.807466829,30.1283532531,51.0641799179
2005,11,"Caramelo",28.3823038558,29.2621532288,42.3555429154
2005,11,"Carrillo",33.4864884354,24.2304829096,42.283028655
2005,11,"Carrizal",29.3253877842,26.9408809365,43.7337312792
2005,11,"Cecilia",35.6405673628,29.1738580792,35.185574558
2005,11,"Cerete",21.7525298035,41.0930970322,37.1543731643
2005,11,"Chima",30.2407411725,27.4246425802,42.3346162473
2005,11,"Cintura",20.5431437819,37.2073450545,42.2495111635
2005,11,"Coroza2",24.1303311535,37.0881301031,38.7815387434
2005,11,"CristoRey",32.7519618051,27.9033528435,39.3446853514
2005,11,"CubaHda",29.3211897542,26.6707533447,44.0080569012
2005,11,"DoctrinaLa",28.332806582,28.2797133721,43.3874800459
2005,11,"Galan",30.4603772718,24.8478939595,44.6917287688
2005,11,"LimonEl",32.2477583006,27.9593265043,39.7929151951
2005,11,"Lorica",31.6954851569,25.593118285,42.7113965581
2005,11,"Maracayo",26.9249020688,24.8971818651,48.1779160661
2005,11,"Momil",29.060539596,31.3873157097,39.5521446942
2005,11,"PajarosLos",34.4413044112,37.4457332905,28.1129622982
2005,11,"Rabolargo",27.4230126686,30.8743556106,41.7026317207
2005,11,"Sabanal",19.3395745004,32.0324044152,48.6280210844
2005,11,"Sahagun",38.0620205126,28.4142523975,33.5237270899
2005,11,"SaladoEl",32.4370502575,26.8273929724,40.7355567701
2005,11,"SanAnterito",27.4973319587,25.0699789661,47.4326890752
2005,11,"SanAntonio",36.686275426,30.6428774493,32.6708471247
2005,11,"SanBernardodelV",34.6988275708,28.848396214,36.4527762153
2005,11,"SanCarlos",20.572565046,26.305126564,53.12230839
2005,11,"Turipana",24.7138066135,39.4379083052,35.8482850813
2005,11,"UnivdeCordoba",20.9797902943,33.4224401935,45.5977695122
2005,12,"AcaciasLasHda",16.7997161604,22.6539577072,60.5463261323
2005,12,"ApartadaLa",18.9029343591,24.2751964813,56.8218691596
2005,12,"AptoLosGarzones",13.4492380775,24.2606015152,62.2901604072
2005,12,"Ayapel",20.2001459883,27.9619497247,51.837904287
2005,12,"BocadeLaCeiba",16.1165419789,31.9956231912,51.8878348299
2005,12,"BuenosAires",11.4184643591,19.6077092871,68.9738263538
2005,12,"BuenosAires1",11.9754284645,23.078848916,64.9457226196
2005,12,"Caramelo",10.5613112063,21.5214117524,67.9172770413
2005,12,"Carrillo",17.5311199758,27.5658485734,54.9030314508
2005,12,"Carrizal",14.1440196007,26.8185847439,59.0373956554
2005,12,"Cecilia",31.9774240774,31.8597182986,36.1628576241
2005,12,"Cerete",8.10110390934,32.3656255974,59.5332704933
2005,12,"Chima",9.7372538696,21.6245398321,68.6382062983
2005,12,"Cintura",14.4308469103,29.7718383557,55.797314734
2005,12,"Coroza2",22.3838897089,31.1365407625,46.4795695286
2005,12,"CristoRey",21.7687965174,31.161516232,47.0696872506
2005,12,"CubaHda",13.8116464723,17.7869089296,68.4014445981
2005,12,"DoctrinaLa",8.15906347175,21.7139262726,70.1270102557
2005,12,"Galan",18.8110381138,21.8660474515,59.3229144347
2005,12,"LimonEl",18.3777272866,30.0040630692,51.6182096443
2005,12,"Lorica",6.55964383563,20.9523829826,72.4879731818
2005,12,"Maracayo",11.6246210841,21.7845573733,66.5908215426
2005,12,"Momil",9.41216984513,28.7078220041,61.8800081508
2005,12,"PajarosLos",25.5198126652,35.1169363056,39.3632510293
2005,12,"Rabolargo",7.4506348875,25.6987004445,66.850664668
2005,12,"Sabanal",13.6404063734,26.8878631222,59.4717305045
2005,12,"Sahagun",27.6218853967,37.8875769966,34.4905376067
2005,12,"SaladoEl",11.7432511797,23.4318470449,64.8249017754
2005,12,"SanAnterito",11.5444963073,20.3485464698,68.1069572229
2005,12,"SanAntonio",26.6439509937,38.8300042133,34.526044793
2005,12,"SanBernardodelV",17.5901156577,27.0572284235,55.3526559188
2005,12,"SanCarlos",16.7156068098,30.3014377571,52.9829554331
2005,12,"Turipana",5.70234428256,20.7612885049,73.5363672125
2005,12,"UnivdeCordoba",7.53841349171,25.556566044,66.9050204643
2006,1,"AcaciasLasHda",24.1401254694,28.5037278333,47.3561466973
2006,1,"ApartadaLa",22.736205811,27.4253484426,49.8384457464
2006,1,"AptoLosGarzones",12.6845191552,29.6482363478,57.6672444969
2006,1,"Ayapel",14.4925884741,24.2287182338,61.2786932921
2006,1,"BocadeLaCeiba",8.71091412438,29.0192846715,62.2698012041
2006,1,"BuenosAires",9.62417586143,27.0433598774,63.3324642612
2006,1,"BuenosAires1",5.3729331156,23.3087287271,71.3183381573
2006,1,"Caramelo",10.5423020266,27.0998867244,62.3578112491
2006,1,"Carrillo",18.9295430226,32.6664832918,48.4039736855
2006,1,"Carrizal",14.1005260368,30.544550124,55.3549238392
2006,1,"Cecilia",21.1890742418,29.0026173194,49.8083084388
2006,1,"Cerete",6.02853700761,31.773644308,62.1978186844
2006,1,"Chima",13.035547683,25.9467461086,61.0177062083
2006,1,"Cintura",23.5996488418,30.4619371609,45.9384139973
2006,1,"Coroza2",11.8313674422,25.7305824208,62.438050137
