day,month,year,precip,tmax,tmin,srad
12,4,1980,6.6,31.25630211,21.25630211,16.89090678
13,4,1980,17.5,32.62392539,22.42392539,10.65914921
14,4,1980,7.3,30.10783737,24.80783737,19.19276821
15,4,1980,13.2,29.01218611,21.91218611,10.02314234
16,4,1980,14,31.95720046,23.45720046,15.74865024
17,4,1980,14.5,30.2712927,25.0712927,9.852708879
18,4,1980,5.4,32.65471025,25.05471025,11.08122608
19,4,1980,6.1,31.10699657,22.30699657,14.00475731
20,4,1980,43,27.79515855,20.99515855,14.76173577
21,4,1980,0.6,28.65774064,21.05774064,17.05638271
22,4,1980,0,29.76050983,21.66050983,17.65272284
23,4,1980,30.5,31.61853496,20.11853496,15.63579478
24,4,1980,2.8,29.39523795,23.19523795,9.328938749
25,4,1980,6.5,28.90205375,22.80205375,18.81645174
26,4,1980,28.5,31.47985262,22.07985262,9.309651946
27,4,1980,3.6,32.13921449,21.93921449,20.2973913
28,4,1980,52.1,33.91593789,25.01593789,9.28955141
29,4,1980,0,33.28090166,20.48090166,15.06677305
30,4,1980,9.8,30.02726951,22.22726951,17.63313779
1,5,1980,0,31.526615,21.526615,23.38056021
2,5,1980,0.9,33.47275792,24.17275792,20.01290377
3,5,1980,12.6,32.17041367,23.17041367,17.10926457
4,5,1980,0,33.05911512,23.35911512,9.225555799
5,5,1980,0.8,31.56173865,21.56173865,20.53505066
6,5,1980,138.3,31.44895741,22.04895741,11.61476773
7,5,1980,0,29.05249417,24.05249417,15.36194681
8,5,1980,47.7,30.06084122,22.36084122,18.64685804
9,5,1980,1.7,31.46724463,22.86724463,10.82004168
10,5,1980,0,31.26415128,21.86415128,21.44166
11,5,1980,0,30.78969188,21.68969188,24.10398841
12,5,1980,18.5,31.87696156,22.27696156,9.285471845
13,5,1980,27.8,30.73864686,22.13864686,9.870543561
14,5,1980,1.1,31.14591576,23.94591576,15.06957341
15,5,1980,0,31.85193758,23.85193758,17.13110717
16,5,1980,0,31.26836561,23.06836561,18.88978697
17,5,1980,9.2,31.39311489,23.19311489,13.08337979
18,5,1980,32.3,32.2562267,22.8562267,12.47475823
19,5,1980,31.6,32.60732345,22.20732345,23.39755001
20,5,1980,0,31.52895448,23.72895448,21.00524197
21,5,1980,24.1,30.25165284,21.95165284,14.640026
22,5,1980,16.7,30.92399978,21.62399978,16.68308709
23,5,1980,0,31.26412541,23.06412541,16.22184596
24,5,1980,0,30.54101638,20.34101638,17.67076382
25,5,1980,31.4,31.79414861,21.39414861,10.46526454
26,5,1980,6.5,31.69895638,22.09895638,13.23646395
27,5,1980,0,32.03784076,22.63784076,16.43995105
28,5,1980,17.8,30.37306915,19.67306915,23.8728778
29,5,1980,38.2,28.47059949,18.67059949,11.00558729
30,5,1980,8.1,28.80162817,21.00162817,8.954165092
31,5,1980,59.2,27.03489183,21.83489183,18.26457924
1,6,1980,0.6,30.35013041,21.15013041,16.64692918
2,6,1980,13.9,30.62635111,21.62635111,14.74254321
