day,month,year,tmax,tmin,precip,srad
1,1,1980,30.13,20.33,22.30,14.11
2,1,1980,27.60,18.60,4.60,16.38
3,1,1980,29.00,18.80,0.00,21.22
4,1,1980,29.00,19.80,21.40,18.37
5,1,1980,29.20,19.60,0.00,22.77
6,1,1980,28.40,19.00,0.00,19.31
7,1,1980,29.60,18.40,0.00,23.27
8,1,1980,30.00,19.80,0.00,20.26
9,1,1980,30.20,19.40,0.00,22.86
10,1,1980,30.40,19.71,0.00,24.26
11,1,1980,29.40,19.00,1.30,21.85
12,1,1980,29.60,20.20,0.00,20.82
13,1,1980,28.60,19.00,0.00,21.15
14,1,1980,29.00,18.60,4.00,19.34
15,1,1980,25.00,19.80,0.80,11.43
16,1,1980,28.60,17.00,0.00,20.01
17,1,1980,29.20,19.20,0.40,20.50
18,1,1980,28.60,18.40,42.30,15.16
19,1,1980,25.40,18.20,1.20,14.72
20,1,1980,28.40,19.00,0.00,18.13
21,1,1980,29.00,19.60,0.00,14.00
22,1,1980,31.20,19.40,0.00,23.12
23,1,1980,30.00,19.80,0.20,21.61
24,1,1980,27.40,20.40,0.00,11.44
25,1,1980,30.80,17.70,0.00,21.84
26,1,1980,31.60,20.00,0.00,25.91
27,1,1980,31.60,19.37,0.00,23.62
28,1,1980,28.20,21.40,0.00,12.14
29,1,1980,29.60,20.00,29.80,16.53
30,1,1980,23.40,18.37,19.30,9.22
31,1,1980,27.60,18.00,11.00,20.81
1,2,1980,26.20,20.00,6.50,12.38
2,2,1980,26.40,19.40,3.00,13.19
3,2,1980,27.20,20.40,38.40,11.49
4,2,1980,24.20,18.00,8.50,10.25
5,2,1980,26.60,18.40,0.00,11.21
6,2,1980,26.00,19.60,0.30,10.92
7,2,1980,29.00,19.80,0.00,21.06
8,2,1980,29.60,19.80,0.00,22.04
9,2,1980,31.40,20.00,0.00,21.92
10,2,1980,30.20,19.60,0.00,23.23
11,2,1980,30.00,20.00,0.00,25.18
12,2,1980,31.00,19.60,0.00,19.32
13,2,1980,30.80,20.00,0.00,24.14
14,2,1980,31.00,20.20,0.00,22.90
15,2,1980,29.80,20.60,1.20,20.06
16,2,1980,28.60,20.00,0.00,16.88
17,2,1980,28.60,19.40,4.70,16.27
18,2,1980,29.80,20.00,4.90,20.95
19,2,1980,27.40,20.60,3.20,13.74
20,2,1980,23.20,18.60,0.00,9.57
21,2,1980,26.40,19.40,1.80,18.30
22,2,1980,29.20,19.71,0.00,20.43
23,2,1980,29.60,19.55,0.00,24.99
24,2,1980,29.40,19.00,0.00,19.51
25,2,1980,29.20,20.00,0.00,15.65
26,2,1980,30.40,20.80,0.00,24.60
27,2,1980,30.20,20.60,0.00,20.56
28,2,1980,30.60,19.60,0.00,24.01
29,2,1980,30.20,19.80,0.00,20.61
1,3,1980,30.40,20.60,0.00,21.29
2,3,1980,31.20,20.20,0.00,19.03
3,3,1980,29.80,19.40,0.20,20.68
4,3,1980,29.40,19.60,2.10,17.27
5,3,1980,28.00,20.00,0.00,12.54
6,3,1980,30.40,19.80,0.00,20.90
7,3,1980,30.60,20.20,0.00,20.10
8,3,1980,32.60,20.00,0.00,23.23
9,3,1980,32.80,20.80,0.00,23.41
10,3,1980,32.00,21.20,0.00,20.64
11,3,1980,33.00,20.40,0.00,23.94
12,3,1980,32.20,21.60,0.00,16.56
13,3,1980,32.60,21.60,0.00,24.13
14,3,1980,29.00,21.20,0.00,9.84
15,3,1980,31.60,21.00,16.10,14.45
16,3,1980,31.80,19.00,0.00,21.20
17,3,1980,30.26,21.60,0.00,18.41
18,3,1980,29.57,19.20,0.80,10.36
19,3,1980,31.31,20.40,0.30,13.16
20,3,1980,30.00,21.00,0.10,22.21
21,3,1980,29.49,20.40,11.00,20.90
22,3,1980,29.59,17.00,0.50,19.75
23,3,1980,28.60,19.19,1.00,20.57
24,3,1980,29.13,20.20,0.00,24.35
25,3,1980,28.80,19.88,0.20,10.37
26,3,1980,29.45,21.40,0.00,21.06
27,3,1980,33.60,20.71,0.00,21.88
28,3,1980,31.25,23.00,0.00,17.93
29,3,1980,30.09,23.00,0.00,22.03
30,3,1980,27.40,20.21,7.90,11.19
31,3,1980,28.27,20.00,0.00,26.61
1,4,1980,33.00,18.98,0.00,25.94
2,4,1980,29.00,20.00,0.00,13.80
3,4,1980,30.00,19.80,0.00,20.02
4,4,1980,30.40,20.20,31.30,19.68
5,4,1980,30.20,19.80,6.10,12.15
6,4,1980,27.36,20.00,3.90,14.59
7,4,1980,26.20,19.80,0.00,14.42
8,4,1980,27.20,17.89,1.90,11.15
9,4,1980,29.00,19.40,1.30,16.84
10,4,1980,27.60,18.60,0.00,17.57
11,4,1980,28.40,18.40,2.60,14.54
12,4,1980,30.30,19.80,0.00,17.78
13,4,1980,29.81,20.40,0.60,15.49
14,4,1980,29.00,19.40,11.10,14.66
15,4,1980,27.20,18.40,0.30,17.40
16,4,1980,30.80,19.00,0.00,22.88
17,4,1980,30.00,20.40,0.00,14.14
18,4,1980,25.10,19.40,0.00,20.89
19,4,1980,32.20,20.60,0.00,25.70
20,4,1980,32.00,21.00,0.00,21.49
21,4,1980,28.20,21.40,0.00,11.82
22,4,1980,29.40,20.60,0.80,14.06
23,4,1980,30.00,20.20,0.00,19.64
24,4,1980,27.00,20.60,3.30,10.34
25,4,1980,27.60,20.00,38.80,13.84
26,4,1980,24.40,19.00,45.20,10.48
27,4,1980,29.80,17.00,0.00,27.02
28,4,1980,30.40,20.00,0.00,20.63
29,4,1980,30.00,19.80,0.90,22.02
30,4,1980,29.10,20.00,1.90,20.25
1,5,1980,27.20,20.20,8.80,15.16
2,5,1980,28.40,19.00,0.00,19.72
3,5,1980,26.00,19.60,0.80,14.48
4,5,1980,28.40,19.20,0.00,17.61
5,5,1980,29.40,20.12,0.00,16.65
6,5,1980,28.20,19.80,0.00,17.09
7,5,1980,29.40,20.00,0.50,21.46
8,5,1980,29.20,20.28,9.30,18.29
9,5,1980,30.40,18.20,0.70,24.36
10,5,1980,30.00,20.00,0.40,19.18
11,5,1980,31.00,20.40,0.00,23.20
12,5,1980,31.00,20.00,0.00,25.49
13,5,1980,29.00,21.00,0.00,9.47
14,5,1980,30.00,20.60,10.50,17.82
15,5,1980,26.80,18.80,0.80,13.93
16,5,1980,29.80,20.00,1.00,22.10
17,5,1980,30.00,21.20,33.90,15.44
18,5,1980,29.60,19.80,32.80,17.26
19,5,1980,29.00,19.00,10.80,13.24
20,5,1980,30.20,20.00,0.00,23.36
21,5,1980,30.00,20.40,0.00,16.43
22,5,1980,29.60,19.40,1.00,18.40
23,5,1980,30.20,20.20,0.00,17.45
24,5,1980,30.00,19.60,0.00,22.47
25,5,1980,26.70,20.60,3.00,18.63
26,5,1980,28.40,19.60,0.10,13.43
27,5,1980,29.20,20.20,0.00,14.02
28,5,1980,31.20,19.20,0.00,22.67
29,5,1980,30.00,19.00,0.00,15.66
30,5,1980,29.60,20.00,0.00,20.95
31,5,1980,28.00,19.40,2.20,18.66
1,6,1980,25.40,20.00,78.90,10.17
2,6,1980,25.00,17.60,0.00,16.05
3,6,1980,28.80,17.00,0.90,22.38
4,6,1980,28.80,19.00,0.00,23.71
5,6,1980,28.20,20.60,0.00,17.82
6,6,1980,30.00,19.20,0.00,25.48
7,6,1980,29.20,20.00,0.00,18.99
8,6,1980,29.20,19.40,0.00,13.57
9,6,1980,29.60,19.60,18.70,22.27
10,6,1980,26.20,19.40,1.50,13.25
11,6,1980,28.20,19.20,1.80,16.84
12,6,1980,28.00,19.40,3.60,15.18
13,6,1980,26.60,18.00,0.40,10.53
14,6,1980,30.20,18.20,0.00,25.20
15,6,1980,31.20,19.40,0.00,24.89
16,6,1980,31.00,19.40,0.10,23.68
17,6,1980,29.38,18.40,0.00,20.68
18,6,1980,30.00,20.00,3.20,20.23
19,6,1980,30.40,19.60,2.50,17.24
20,6,1980,26.40,19.00,6.70,11.40
21,6,1980,29.00,19.80,0.30,17.38
22,6,1980,30.40,20.20,0.00,21.41
23,6,1980,31.00,18.20,0.00,24.10
24,6,1980,30.00,19.20,0.00,16.18
25,6,1980,30.80,20.80,0.70,22.31
26,6,1980,27.80,20.00,0.00,12.90
27,6,1980,29.20,20.00,0.00,19.18
28,6,1980,30.20,18.20,0.00,16.64
29,6,1980,30.20,19.40,0.00,19.94
30,6,1980,30.80,18.40,3.10,22.19
1,7,1980,30.40,18.80,0.00,20.70
2,7,1980,30.60,19.00,0.00,22.95
3,7,1980,31.00,18.00,0.00,25.06
4,7,1980,32.20,18.80,0.00,23.42
5,7,1980,30.60,19.20,0.00,18.04
6,7,1980,31.00,18.60,0.00,18.20
7,7,1980,31.20,18.20,0.00,22.56
8,7,1980,31.60,18.80,0.80,24.68
9,7,1980,29.40,19.80,0.20,14.47
10,7,1980,29.80,20.20,0.00,13.58
11,7,1980,30.40,18.20,0.00,14.19
12,7,1980,31.60,19.40,0.00,22.65
13,7,1980,31.20,20.20,0.00,17.99
14,7,1980,31.60,18.20,0.00,22.39
15,7,1980,30.60,18.80,0.00,16.21
16,7,1980,31.00,18.20,0.00,21.22
17,7,1980,31.40,19.20,0.00,19.42
18,7,1980,32.20,19.00,0.00,23.69
19,7,1980,31.80,18.80,0.00,21.28
20,7,1980,31.40,18.40,0.00,19.48
21,7,1980,27.80,19.60,0.00,14.94
22,7,1980,31.40,19.00,0.00,21.51
23,7,1980,31.40,19.40,0.00,22.30
24,7,1980,30.60,19.00,0.00,20.79
25,7,1980,32.20,18.00,0.00,21.74
26,7,1980,32.00,19.00,0.00,20.84
27,7,1980,31.80,19.60,1.50,21.94
28,7,1980,30.40,19.00,0.10,17.98
29,7,1980,31.20,19.80,0.00,21.07
30,7,1980,29.08,19.20,0.60,22.95
31,7,1980,32.40,19.40,1.40,17.89
1,8,1980,29.40,17.80,0.00,18.53
2,8,1980,32.20,20.00,0.00,23.19
3,8,1980,34.00,19.60,0.00,22.45
4,8,1980,30.40,19.80,2.60,18.29
5,8,1980,29.40,18.80,0.00,21.42
6,8,1980,31.00,19.20,0.00,15.85
7,8,1980,30.60,18.80,0.00,17.27
8,8,1980,27.00,20.70,8.70,9.65
9,8,1980,29.80,16.80,0.00,22.78
10,8,1980,30.20,19.20,0.00,15.30
11,8,1980,31.80,17.00,0.00,22.37
12,8,1980,32.40,19.20,0.00,23.97
13,8,1980,33.40,19.00,0.00,26.35
14,8,1980,31.20,18.80,0.00,15.53
15,8,1980,32.60,21.00,0.00,21.85
16,8,1980,30.40,20.00,0.00,14.46
17,8,1980,31.80,18.60,0.00,23.01
18,8,1980,27.60,18.20,5.60,11.17
19,8,1980,30.00,19.00,0.10,17.52
20,8,1980,28.20,19.00,0.00,13.26
21,8,1980,31.40,17.60,0.00,25.65
22,8,1980,31.00,17.00,1.70,25.36
23,8,1980,31.40,17.40,0.00,24.59
24,8,1980,32.60,19.20,0.00,23.19
25,8,1980,33.20,18.60,0.00,24.80
26,8,1980,33.00,20.00,0.10,24.35
27,8,1980,31.20,20.00,0.00,19.58
28,8,1980,31.00,19.00,3.90,19.43
29,8,1980,29.60,18.60,0.50,14.65
30,8,1980,31.80,20.00,0.00,25.72
31,8,1980,32.80,19.00,26.10,24.62
1,9,1980,30.00,18.00,3.50,19.33
2,9,1980,31.60,19.00,0.00,23.85
3,9,1980,31.80,17.61,0.00,18.39
4,9,1980,32.60,20.40,0.00,24.36
5,9,1980,30.40,19.00,0.10,21.64
6,9,1980,32.60,20.20,0.00,24.07
7,9,1980,31.80,20.00,0.00,21.66
8,9,1980,33.60,20.20,1.70,26.03
9,9,1980,30.60,19.60,4.70,15.38
10,9,1980,30.00,19.40,0.00,19.10
11,9,1980,31.40,19.40,0.00,19.59
12,9,1980,31.60,20.20,0.70,21.70
13,9,1980,25.32,20.00,0.00,24.46
14,9,1980,32.60,20.20,0.00,20.25
15,9,1980,25.80,21.20,4.10,13.94
16,9,1980,28.00,19.00,9.70,10.54
17,9,1980,30.80,18.00,0.00,23.66
18,9,1980,30.20,19.60,19.60,19.45
19,9,1980,25.40,19.20,0.20,12.96
20,9,1980,31.20,19.20,2.60,25.44
21,9,1980,28.40,19.40,9.30,15.06
22,9,1980,27.60,19.00,0.00,13.28
23,9,1980,30.60,19.80,0.00,21.70
24,9,1980,32.20,20.00,0.00,26.23
25,9,1980,31.40,19.80,0.10,22.17
26,9,1980,32.60,20.80,0.20,23.62
27,9,1980,30.40,20.00,28.30,21.02
28,9,1980,27.80,19.40,0.00,16.15
29,9,1980,29.40,19.80,0.00,21.48
30,9,1980,28.60,19.80,0.30,15.97
1,10,1980,28.20,20.00,0.90,14.99
2,10,1980,30.20,20.00,17.70,17.89
3,10,1980,26.34,19.20,32.50,21.27
4,10,1980,28.80,18.60,12.80,16.41
5,10,1980,27.40,19.60,63.90,15.27
6,10,1980,23.60,18.00,0.80,9.94
7,10,1980,25.80,19.80,5.40,14.11
8,10,1980,27.60,18.40,23.80,17.96
9,10,1980,27.20,18.80,16.70,19.39
10,10,1980,26.40,19.00,0.00,14.71
11,10,1980,28.40,20.00,23.00,21.27
12,10,1980,26.47,18.40,0.00,25.42
13,10,1980,29.00,19.20,0.00,24.59
14,10,1980,29.80,20.00,0.00,21.20
15,10,1980,28.16,19.40,0.00,9.51
16,10,1980,29.00,19.40,14.10,19.08
17,10,1980,25.00,18.80,83.70,11.88
18,10,1980,24.20,18.40,3.70,11.38
19,10,1980,27.60,19.20,0.40,20.44
20,10,1980,28.20,20.00,1.80,16.12
21,10,1980,29.20,18.20,0.00,20.00
22,10,1980,29.60,19.00,0.00,18.93
23,10,1980,28.20,19.60,0.00,14.47
24,10,1980,29.40,20.20,0.00,23.62
25,10,1980,30.00,20.40,34.00,22.80
26,10,1980,27.40,18.80,10.20,17.24
27,10,1980,28.20,19.80,0.70,14.38
28,10,1980,30.00,19.60,5.30,25.21
29,10,1980,27.80,19.40,0.00,14.33
30,10,1980,27.52,19.00,3.90,13.37
31,10,1980,28.80,19.00,1.20,24.48
1,11,1980,27.40,19.40,18.50,18.81
2,11,1980,25.00,18.80,2.60,13.62
3,11,1980,27.04,18.40,14.00,20.62
4,11,1980,27.60,19.20,0.20,19.50
5,11,1980,27.20,18.86,2.50,17.76
6,11,1980,25.40,19.00,0.00,13.84
7,11,1980,27.40,18.53,4.10,18.17
8,11,1980,24.60,18.80,0.90,13.80
9,11,1980,27.40,16.20,1.20,19.35
10,11,1980,28.20,19.20,0.00,21.18
11,11,1980,28.80,17.80,0.00,20.06
12,11,1980,27.00,19.40,1.10,9.09
13,11,1980,27.99,17.60,10.90,18.00
14,11,1980,27.40,19.00,1.70,17.52
15,11,1980,27.60,20.20,0.50,18.87
16,11,1980,27.20,18.80,0.00,19.92
17,11,1980,26.80,19.60,0.00,14.84
18,11,1980,28.00,19.40,3.30,16.96
19,11,1980,28.20,19.60,0.00,20.75
20,11,1980,28.00,18.80,0.00,16.61
21,11,1980,26.25,19.80,0.00,10.80
22,11,1980,28.80,18.00,0.00,19.46
23,11,1980,27.00,20.40,0.00,16.55
24,11,1980,28.60,19.20,0.00,21.54
25,11,1980,29.00,18.40,5.50,19.09
26,11,1980,27.00,19.00,0.30,18.46
27,11,1980,27.20,19.00,0.00,16.17
28,11,1980,29.40,18.80,0.00,22.96
29,11,1980,27.20,19.60,3.30,15.38
30,11,1980,27.00,19.60,0.00,14.38
1,12,1980,28.80,20.00,34.00,19.42
2,12,1980,27.40,19.40,27.20,15.04
3,12,1980,27.56,20.00,0.70,15.30
4,12,1980,27.40,19.20,2.10,17.57
5,12,1980,28.20,18.40,8.40,22.07
6,12,1980,28.60,19.80,0.00,17.55
7,12,1980,27.00,19.00,5.40,13.03
8,12,1980,26.80,18.40,0.00,10.47
9,12,1980,27.67,17.40,0.00,16.62
10,12,1980,28.20,17.80,0.00,16.16
11,12,1980,29.00,18.60,0.00,23.65
12,12,1980,28.00,17.80,0.00,19.60
13,12,1980,28.20,19.40,0.00,19.89
14,12,1980,26.95,18.20,6.50,22.73
15,12,1980,28.60,18.80,0.00,19.13
16,12,1980,27.80,19.60,19.50,17.48
17,12,1980,27.00,19.20,0.30,10.44
18,12,1980,27.66,19.80,5.30,19.43
19,12,1980,28.00,19.60,0.80,19.13
20,12,1980,27.60,18.60,8.90,14.19
21,12,1980,27.80,19.80,0.00,18.24
22,12,1980,26.39,19.40,0.00,16.14
23,12,1980,27.19,18.20,0.90,18.85
24,12,1980,28.80,19.40,0.00,19.00
25,12,1980,28.88,19.38,0.90,14.36
26,12,1980,26.20,18.64,2.00,11.21
27,12,1980,27.20,17.80,7.90,17.23
28,12,1980,26.60,18.00,7.50,15.13
29,12,1980,26.94,19.00,0.50,16.35
30,12,1980,24.60,19.80,1.60,9.44
31,12,1980,25.80,19.40,0.20,11.25
1,1,1981,27.31,19.01,21.00,15.54
2,1,1981,27.02,17.92,0.00,16.08
3,1,1981,29.14,16.64,0.00,20.62
4,1,1981,28.66,17.36,0.00,21.24
5,1,1981,29.79,19.79,0.50,24.88
6,1,1981,28.21,18.81,0.00,17.95
7,1,1981,29.96,18.16,24.40,14.64
8,1,1981,31.70,20.50,0.20,13.30
9,1,1981,29.13,19.13,0.00,17.71
10,1,1981,30.08,18.98,0.00,25.77
11,1,1981,27.44,19.44,38.00,15.77
12,1,1981,23.60,18.80,20.20,18.08
13,1,1981,26.74,18.54,0.00,19.32
14,1,1981,29.14,18.94,0.00,18.89
15,1,1981,27.95,19.35,0.00,20.90
16,1,1981,27.83,19.23,0.00,21.23
17,1,1981,26.06,20.06,0.00,23.41
18,1,1981,28.83,18.83,0.00,24.21
19,1,1981,31.91,19.91,0.00,23.17
20,1,1981,30.59,20.19,0.00,24.43
21,1,1981,30.44,19.84,0.00,24.01
22,1,1981,28.05,19.85,0.00,24.05
23,1,1981,27.59,19.29,0.00,22.23
24,1,1981,28.73,19.33,0.00,21.18
25,1,1981,28.04,18.24,0.00,20.44
26,1,1981,27.41,19.61,0.00,22.34
27,1,1981,28.41,20.21,0.00,21.13
28,1,1981,30.32,20.12,0.00,22.26
29,1,1981,29.47,19.97,0.00,19.96
30,1,1981,30.24,20.64,0.00,20.93
31,1,1981,29.45,20.05,16.60,12.99
1,2,1981,29.37,21.07,4.10,10.50
2,2,1981,29.64,20.04,13.70,23.54
3,2,1981,30.61,20.41,6.20,16.20
4,2,1981,30.11,20.51,24.60,13.24
5,2,1981,28.34,20.04,1.80,15.31
6,2,1981,30.15,19.05,0.00,20.39
7,2,1981,29.96,18.96,3.60,18.84
8,2,1981,29.19,18.19,0.00,23.31
9,2,1981,27.28,17.08,0.00,21.45
10,2,1981,28.80,17.30,0.00,26.57
11,2,1981,27.80,17.40,0.00,23.11
12,2,1981,25.18,16.58,0.90,15.66
13,2,1981,28.11,19.01,33.20,20.15
14,2,1981,27.00,19.40,0.00,11.71
15,2,1981,27.60,18.80,0.00,18.78
16,2,1981,27.80,18.60,23.50,13.36
17,2,1981,30.85,19.05,2.70,10.49
18,2,1981,26.83,20.43,0.00,21.11
19,2,1981,29.26,19.76,18.60,11.81
20,2,1981,28.23,18.83,1.40,12.31
21,2,1981,30.85,21.15,0.00,22.02
22,2,1981,30.77,19.67,5.40,16.88
23,2,1981,30.20,21.20,10.10,10.43
24,2,1981,26.38,19.98,0.00,17.08
25,2,1981,28.84,20.84,8.80,11.43
26,2,1981,31.81,21.41,0.00,18.92
27,2,1981,31.28,21.08,0.00,24.47
28,2,1981,29.04,20.04,0.00,19.13
1,3,1981,29.70,20.20,0.00,24.69
2,3,1981,30.75,20.95,0.00,24.55
3,3,1981,29.30,19.50,0.00,20.82
4,3,1981,28.99,19.59,0.00,27.21
5,3,1981,27.49,18.89,22.30,24.79
6,3,1981,25.79,18.49,2.20,16.14
7,3,1981,28.52,19.02,0.00,22.54
8,3,1981,26.81,17.01,9.20,16.99
9,3,1981,29.67,18.97,20.40,11.59
10,3,1981,30.40,21.40,0.00,10.78
11,3,1981,31.07,20.27,0.00,20.64
12,3,1981,29.05,19.75,0.00,17.86
13,3,1981,27.59,20.29,0.00,14.26
14,3,1981,27.91,19.21,0.00,17.06
15,3,1981,27.42,19.22,44.50,12.96
16,3,1981,30.84,18.64,0.60,17.41
17,3,1981,29.34,20.14,0.60,22.02
18,3,1981,25.34,18.34,0.00,18.58
19,3,1981,26.03,17.63,0.00,15.62
20,3,1981,28.81,18.21,0.00,9.87
21,3,1981,27.57,18.07,0.00,13.33
22,3,1981,28.05,18.85,0.00,19.03
23,3,1981,25.45,19.65,0.00,13.00
24,3,1981,26.34,18.74,0.00,10.04
25,3,1981,29.23,19.23,0.00,19.58
26,3,1981,29.93,20.33,0.00,19.33
27,3,1981,25.69,17.79,0.00,20.98
28,3,1981,29.29,19.09,0.00,20.41
29,3,1981,28.63,19.63,0.20,21.08
30,3,1981,26.97,19.37,5.30,19.90
31,3,1981,28.29,18.29,0.00,20.30
1,4,1981,27.01,19.51,0.00,25.13
2,4,1981,28.77,19.57,0.00,19.71
3,4,1981,27.20,19.80,4.20,14.95
4,4,1981,27.09,20.09,10.40,19.53
5,4,1981,28.23,20.83,13.60,10.19
6,4,1981,30.52,20.72,0.80,18.36
7,4,1981,29.81,20.91,9.40,12.63
8,4,1981,29.35,20.35,13.30,14.75
9,4,1981,28.59,20.99,0.00,20.12
10,4,1981,30.06,20.86,0.00,15.54
11,4,1981,26.99,20.19,10.00,14.71
12,4,1981,27.03,19.83,14.70,9.83
13,4,1981,28.52,20.72,2.20,12.74
14,4,1981,28.93,20.73,5.60,15.49
15,4,1981,28.81,20.41,24.60,15.15
16,4,1981,26.94,19.54,0.00,10.76
17,4,1981,29.94,18.34,45.40,16.57
18,4,1981,29.06,20.06,66.40,20.59
19,4,1981,27.92,20.52,0.30,9.77
20,4,1981,25.01,18.41,0.20,15.39
21,4,1981,26.61,20.01,2.00,23.09
22,4,1981,28.35,19.45,7.30,9.74
23,4,1981,30.61,20.41,0.00,21.59
24,4,1981,27.56,19.96,18.50,12.92
25,4,1981,28.20,19.80,1.80,22.98
26,4,1981,29.38,19.38,0.00,17.20
27,4,1981,26.65,18.85,10.30,10.16
28,4,1981,26.49,17.49,3.00,10.78
29,4,1981,28.15,18.55,4.40,16.81
30,4,1981,28.24,17.94,0.00,19.01
1,5,1981,25.80,19.80,1.80,12.80
2,5,1981,26.20,19.60,41.00,14.53
3,5,1981,26.90,19.40,3.60,11.82
4,5,1981,24.40,19.20,1.90,9.60
5,5,1981,26.98,19.80,50.20,11.00
6,5,1981,26.00,17.80,19.50,14.13
7,5,1981,27.60,18.80,8.00,18.98
8,5,1981,23.80,18.40,0.00,10.80
9,5,1981,24.20,19.20,0.00,10.63
10,5,1981,26.40,19.40,23.40,15.14
11,5,1981,26.80,19.20,3.10,16.84
12,5,1981,25.00,19.20,2.40,16.35
13,5,1981,28.60,18.80,7.30,21.76
14,5,1981,27.20,19.20,1.30,14.75
15,5,1981,27.60,19.80,29.20,17.82
16,5,1981,24.40,19.20,2.10,12.23
17,5,1981,28.20,18.40,7.60,23.49
18,5,1981,25.60,19.80,0.00,12.04
19,5,1981,29.60,19.40,0.00,23.73
20,5,1981,31.00,20.20,0.00,24.31
21,5,1981,30.40,21.00,0.40,20.90
22,5,1981,29.60,20.40,1.20,21.79
23,5,1981,28.00,20.00,21.70,14.93
24,5,1981,27.62,20.00,32.00,16.84
25,5,1981,25.00,19.80,56.50,13.00
26,5,1981,27.40,19.20,7.40,15.73
27,5,1981,27.40,19.00,31.60,13.28
28,5,1981,28.40,19.11,23.80,16.83
29,5,1981,26.80,18.88,5.80,12.67
30,5,1981,27.20,19.60,2.20,15.21
31,5,1981,26.20,19.60,9.70,13.82
1,6,1981,26.80,19.20,1.50,16.99
2,6,1981,26.80,19.50,0.00,13.67
3,6,1981,28.20,19.00,0.00,23.00
4,6,1981,29.00,19.20,0.00,21.92
5,6,1981,30.60,21.20,0.00,24.92
6,6,1981,29.00,20.00,0.00,23.24
7,6,1981,26.80,20.40,10.50,13.43
8,6,1981,28.00,19.60,26.60,20.34
9,6,1981,26.00,19.20,4.10,14.32
10,6,1981,27.00,19.60,0.00,16.56
11,6,1981,28.38,20.00,67.00,13.55
12,6,1981,29.76,19.00,12.90,12.49
13,6,1981,29.62,19.00,31.40,11.73
14,6,1981,28.00,18.40,0.00,20.42
15,6,1981,29.20,18.60,0.00,21.16
16,6,1981,28.60,19.00,25.90,21.90
17,6,1981,28.80,17.80,48.60,21.29
18,6,1981,25.20,19.00,1.90,11.41
19,6,1981,27.80,17.00,4.80,23.07
20,6,1981,27.60,19.40,1.20,20.97
21,6,1981,28.00,19.60,0.00,21.87
22,6,1981,27.60,18.00,0.70,23.66
23,6,1981,29.20,19.80,0.00,21.11
24,6,1981,28.60,20.20,0.00,15.58
25,6,1981,28.20,19.00,0.00,19.02
26,6,1981,27.20,17.20,0.00,13.05
27,6,1981,29.60,17.80,0.00,22.02
28,6,1981,29.00,19.60,0.00,16.49
29,6,1981,28.20,20.40,12.90,15.74
30,6,1981,24.80,19.20,6.50,9.76
1,7,1981,26.80,19.20,3.50,12.61
2,7,1981,27.40,19.00,0.00,17.25
3,7,1981,28.00,19.20,0.00,15.01
4,7,1981,28.60,19.00,0.00,18.47
5,7,1981,28.20,18.40,0.00,21.63
6,7,1981,29.84,17.60,10.50,21.04
7,7,1981,28.60,19.00,0.00,21.80
8,7,1981,29.80,18.40,0.00,22.11
9,7,1981,29.00,20.60,0.00,17.02
10,7,1981,28.00,19.80,0.00,17.18
11,7,1981,28.40,19.80,5.50,12.83
12,7,1981,27.20,19.14,0.00,13.29
13,7,1981,29.20,18.34,0.00,18.13
14,7,1981,28.20,18.60,0.20,16.93
15,7,1981,27.80,18.00,0.00,16.95
16,7,1981,28.00,18.40,0.60,16.66
17,7,1981,26.40,19.40,29.80,13.80
18,7,1981,27.40,17.20,2.60,11.54
19,7,1981,28.20,18.80,0.00,22.32
20,7,1981,27.80,19.40,0.00,19.31
21,7,1981,29.20,17.80,0.00,19.33
22,7,1981,29.80,16.00,0.00,21.64
23,7,1981,30.40,19.00,0.00,15.10
24,7,1981,30.20,16.40,0.00,23.97
25,7,1981,30.40,17.20,0.00,22.63
26,7,1981,31.00,17.80,0.00,26.17
27,7,1981,30.20,18.00,0.00,18.54
28,7,1981,30.80,20.02,0.00,16.57
29,7,1981,30.20,21.05,0.00,15.52
30,7,1981,30.40,19.80,0.00,18.15
31,7,1981,30.60,19.94,0.00,15.40
1,8,1981,31.60,20.00,0.00,14.80
2,8,1981,31.00,19.20,0.00,19.61
3,8,1981,30.60,18.80,0.00,14.38
4,8,1981,32.00,18.00,0.00,25.86
5,8,1981,33.00,20.00,0.00,19.07
6,8,1981,31.80,19.20,0.00,13.65
7,8,1981,28.60,18.00,0.20,20.83
8,8,1981,29.00,19.20,27.70,16.65
9,8,1981,29.60,18.40,0.00,21.81
10,8,1981,31.20,19.00,0.00,17.78
11,8,1981,31.20,19.20,0.80,10.61
12,8,1981,27.60,19.00,10.40,10.62
13,8,1981,29.20,17.82,0.00,16.44
14,8,1981,29.00,19.18,0.00,14.10
15,8,1981,30.20,16.60,0.00,25.44
16,8,1981,30.60,18.80,7.90,23.58
17,8,1981,27.20,18.80,9.50,15.41
18,8,1981,29.40,18.40,0.00,21.11
19,8,1981,30.20,19.20,0.00,19.71
20,8,1981,30.60,17.20,0.00,25.75
21,8,1981,31.00,18.00,3.10,26.26
22,8,1981,27.00,20.41,6.70,16.60
23,8,1981,25.40,18.00,41.00,18.05
24,8,1981,29.00,21.26,36.00,23.80
25,8,1981,25.40,17.00,0.00,13.95
26,8,1981,29.20,16.40,0.00,26.40
27,8,1981,29.80,18.80,0.00,21.47
28,8,1981,29.20,19.00,0.00,22.45
29,8,1981,28.20,18.80,5.10,19.11
